ds,yhat,yhat_lower,yhat_upper
2024-06-19,1237.3207517877993,1107.7780291314727,1366.8634744441258
2024-06-20,1191.0330281482638,1061.4903054919373,1320.5757508045904
2024-06-21,1208.7302358618804,1079.1875132055538,1338.272958518207
2024-06-22,1271.0527579400075,1141.510035283681,1400.595480596334
2024-06-23,1344.1730033653296,1214.630280709003,1473.715726021656
2024-06-24,1374.7651648151407,1245.2224421588141,1504.3078874714672
2024-06-25,1306.4750098292004,1176.9322871728739,1436.017732485527
2024-06-26,1226.0955682863892,1096.5528456300626,1355.6382909427157
2024-06-27,1179.914794222177,1050.3720715658505,1309.4575168785036
2024-06-28,1197.717932533418,1068.1752098770914,1327.2606551897445
2024-06-29,1260.1453759399283,1130.6026532836017,1389.6880985962548
2024-06-30,1333.369543040353,1203.8268203840264,1462.9122656966795
2024-07-01,1364.0646360363287,1234.5219133800022,1493.6073586926552
2024-07-02,1295.876431901213,1166.3337092448864,1425.4191545575395
2024-07-03,1215.5979698576048,1086.0552472012782,1345.1406925139313
2024-07-04,1169.5172131956683,1039.9744905393418,1299.0599358519949
2024-07-05,1187.4194159787758,1057.8766933224492,1316.9621386351023
2024-07-06,1249.9449800059285,1120.402257349602,1379.487702662255
2024-07-07,1323.2663328684512,1193.7236102121246,1452.8090555247777
2024-07-08,1354.0576856749817,1224.5149630186552,1483.6004083313082
2024-07-09,1285.9648242210164,1156.42210156469,1415.507546877343
2024-07-10,1205.7807964672386,1076.238073810912,1335.3235191235651
2024-07-11,1159.7935743586431,1030.2508517023166,1289.3362970149697
2024-07-12,1177.7884205309738,1048.2456978746472,1307.3311431873003
2024-07-13,1240.4057452739273,1110.8630226176008,1369.9484679302539
2024-07-14,1313.8179845886289,1184.2752619323023,1443.3607072449554
2024-07-15,1344.6993579133905,1215.156635257064,1474.242080569717
2024-07-16,1276.6956592940207,1147.1529366376942,1406.2383819503473
2024-07-17,1196.5999448629088,1067.0572222065823,1326.1426675192354
2024-07-18,1150.7001946588994,1021.157472002573,1280.242917315226
