ds,yhat,yhat_lower,yhat_upper
2024-06-19,1313.8018798828125,1198.485325417479,1429.118434348146
2024-06-20,1199.05712890625,1083.7405744409166,1314.3736833715834
2024-06-21,1204.4249267578125,1089.108372292479,1319.741481223146
2024-06-22,1271.3193359375,1156.0027814721666,1386.6358904028334
2024-06-23,1351.1419677734375,1235.825413308104,1466.458522238771
2024-06-24,1363.5745849609375,1248.258030495604,1478.891139426271
2024-06-25,1337.8875732421875,1222.571018776854,1453.204127707521
2024-06-26,1261.26123046875,1145.9446760034166,1376.5777849340834
2024-06-27,1202.9794921875,1087.6629377221666,1318.2960466528334
2024-06-28,1205.4210205078125,1090.104466042479,1320.737574973146
2024-06-29,1279.9661865234375,1164.649632058104,1395.282740988771
2024-06-30,1371.2120361328125,1255.895481667479,1486.528590598146
2024-07-01,1385.7342529296875,1270.417698464354,1501.050807395021
2024-07-02,1333.82861328125,1218.5120588159166,1449.1451677465834
2024-07-03,1256.3114013671875,1140.994846901854,1371.627955832521
2024-07-04,1275.97021484375,1160.6536603784166,1391.2867693090834
2024-07-05,1217.5679931640625,1102.251438698729,1332.884547629396
2024-07-06,1285.46630859375,1170.1497541284166,1400.7828630590834
2024-07-07,1375.6297607421875,1260.313206276854,1490.946315207521
2024-07-08,1384.0760498046875,1268.759495339354,1499.392604270021
2024-07-09,1316.453369140625,1201.1368146752916,1431.7699236059584
2024-07-10,1235.628173828125,1120.3116193627916,1350.9447282934584
2024-07-11,1201.46337890625,1086.1468244409166,1316.7799333715834
2024-07-12,1228.0894775390625,1112.772923073729,1343.406032004396
2024-07-13,1283.4674072265625,1168.150852761229,1398.783961691896
2024-07-14,1363.73779296875,1248.4212385034166,1479.0543474340834
2024-07-15,1361.640380859375,1246.3238263940416,1476.9569353247084
2024-07-16,1318.2281494140625,1202.911594948729,1433.544703879396
2024-07-17,1227.197265625,1111.8807111596666,1342.5138200903334
2024-07-18,1182.3701171875,1067.0535627221666,1297.6866716528334
