ds,XGBoost,Holt-Winters
2024-06-19,1313.8018798828125,1237.3207517877993
2024-06-20,1199.05712890625,1191.0330281482638
2024-06-21,1204.4249267578125,1208.7302358618804
2024-06-22,1271.3193359375,1271.0527579400075
2024-06-23,1351.1419677734375,1344.1730033653296
2024-06-24,1363.5745849609375,1374.7651648151407
2024-06-25,1337.8875732421875,1306.4750098292004
2024-06-26,1261.26123046875,1226.0955682863892
2024-06-27,1202.9794921875,1179.914794222177
2024-06-28,1205.4210205078125,1197.717932533418
2024-06-29,1279.9661865234375,1260.1453759399283
2024-06-30,1371.2120361328125,1333.369543040353
2024-07-01,1385.7342529296875,1364.0646360363287
2024-07-02,1333.82861328125,1295.876431901213
2024-07-03,1256.3114013671875,1215.5979698576048
2024-07-04,1275.97021484375,1169.5172131956683
2024-07-05,1217.5679931640625,1187.4194159787758
2024-07-06,1285.46630859375,1249.9449800059285
2024-07-07,1375.6297607421875,1323.2663328684512
2024-07-08,1384.0760498046875,1354.0576856749817
2024-07-09,1316.453369140625,1285.9648242210164
2024-07-10,1235.628173828125,1205.7807964672386
2024-07-11,1201.46337890625,1159.7935743586431
2024-07-12,1228.0894775390625,1177.7884205309738
2024-07-13,1283.4674072265625,1240.4057452739273
2024-07-14,1363.73779296875,1313.8179845886289
2024-07-15,1361.640380859375,1344.6993579133905
2024-07-16,1318.2281494140625,1276.6956592940207
2024-07-17,1227.197265625,1196.5999448629088
2024-07-18,1182.3701171875,1150.7001946588994
