ds,yhat,yhat_lower,yhat_upper
2024-06-19,1239.8423114780471,1110.2994211570615,1369.3852017990328
2024-06-20,1193.899209911027,1064.3563195900413,1323.4421002320125
2024-06-21,1205.6749937930542,1076.1321034720686,1335.2178841140399
2024-06-22,1272.4127667025393,1142.8698763815537,1401.955657023525
2024-06-23,1339.6784482656708,1210.1355579446852,1469.2213385866564
2024-06-24,1379.3549575009886,1249.812067180003,1508.8978478219742
2024-06-25,1309.2619546064982,1179.7190642855126,1438.8048449274838
2024-06-26,1229.0354245683711,1099.4925342473855,1358.5783148893568
2024-06-27,1183.2202143049963,1053.6773239840106,1312.763104625982
2024-06-28,1195.1223759941658,1065.5794856731802,1324.6652663151515
2024-06-29,1261.9850311253722,1132.4421408043866,1391.5279214463578
2024-06-30,1329.3741170239225,1199.8312267029369,1458.9170073449081
2024-07-01,1369.172570198019,1239.6296798770334,1498.7154605190046
2024-07-02,1299.2000681283528,1169.6571778073671,1428.7429584493384
2024-07-03,1219.0926128792541,1089.5497225582685,1348.6355032002398
2024-07-04,1173.3950682451627,1043.852177924177,1302.9379585661484
2024-07-05,1185.4135030802067,1055.870612759221,1314.9563934011924
2024-07-06,1252.391055352863,1122.8481650318774,1381.9339456738487
2024-07-07,1319.8936786724064,1190.3507883514208,1449.436568993392
2024-07-08,1359.8043256382987,1230.261435317313,1489.3472159592843
2024-07-09,1289.9426896320629,1160.3997993110772,1419.4855799530485
2024-07-10,1209.9447884306862,1080.4018981097006,1339.4876787516719
2024-07-11,1164.3555013553187,1034.812611034333,1293.8983916763043
2024-07-12,1176.4809126030516,1046.938022282066,1306.0238029240372
2024-07-13,1243.5641753037528,1114.0212849827672,1373.1070656247384
2024-07-14,1311.1712580486642,1181.6283677276786,1440.7141483696498
2024-07-15,1351.185128241915,1221.6422379209293,1480.7280185629006
2024-07-16,1281.425493894493,1151.8826035735074,1410.9683842154786
2024-07-17,1201.528387239722,1071.9854969187363,1331.0712775607076
2024-07-18,1156.038701884009,1026.4958115630234,1285.5815922049946
