ds,yhat,yhat_lower,yhat_upper
2024-06-19,1277.5228854691982,1156.8105888825417,1398.2351820558547
2024-06-20,1242.024813297391,1121.3125167107344,1362.7371098840474
2024-06-21,1255.8578474891185,1135.145550902462,1376.570144075775
2024-06-22,1301.1392342686652,1180.4269376820087,1421.8515308553217
2024-06-23,1369.562578974366,1248.8502823877095,1490.2748755610226
2024-06-24,1401.7439319384098,1281.0316353517533,1522.4562285250663
2024-06-25,1345.4281059509515,1224.715809364295,1466.140402537608
2024-06-26,1279.0499884450435,1158.337691858387,1399.7622850317
2024-06-27,1240.9107160907984,1120.1984195041418,1361.6230126774549
2024-06-28,1251.3314739865064,1130.6191773998498,1372.0437705731629
2024-06-29,1295.0367062830924,1174.3244096964359,1415.749002869749
2024-06-30,1363.2678618657587,1242.5555652791022,1483.9801584524153
2024-07-01,1395.8446819978951,1275.1323854112386,1516.5569785845516
2024-07-02,1335.735596036315,1215.0232994496585,1456.4478926229715
2024-07-03,1261.810788179636,1141.0984915929794,1382.5230847662924
2024-07-04,1215.6446638357638,1094.9323672491073,1336.3569604224203
2024-07-05,1219.8417076694964,1099.1294110828399,1340.554004256153
2024-07-06,1262.9700897163152,1142.2577931296587,1383.6823863029717
2024-07-07,1334.4424353694915,1213.730138782835,1455.154731956148
2024-07-08,1370.0932630997895,1249.380966513133,1490.805559686446
2024-07-09,1309.422093259096,1188.7097966724396,1430.1343898457526
2024-07-10,1238.5814201283454,1117.8691235416889,1359.293716715002
2024-07-11,1199.18310251534,1078.4708059286834,1319.8953991019964
2024-07-12,1209.8844780296088,1089.1721814429523,1330.5967746162653
2024-07-13,1256.7140141063928,1136.0017175197363,1377.4263106930493
2024-07-14,1330.710730227828,1209.9984336411715,1451.4230268144845
2024-07-15,1367.375006224513,1246.6627096378566,1488.0873028111696
2024-07-16,1307.3746030139923,1186.6623064273358,1428.0868996006488
2024-07-17,1236.514071660638,1115.8017750739814,1357.2263682472944
2024-07-18,1196.4376325201988,1075.7253359335423,1317.1499291068553
