ds,yhat,yhat_lower,yhat_upper
2024-06-19,1246.9706749859367,1173.9671457321201,1319.7724648485723
2024-06-20,1201.991386255396,1131.020134293387,1277.6309647171531
2024-06-21,1215.305547638776,1138.2200996037313,1283.6987091788594
2024-06-22,1281.341230069005,1207.660487990957,1357.333463334867
2024-06-23,1351.244598747907,1275.3350037567495,1432.281008881259
2024-06-24,1379.9187209013692,1304.4937955442324,1457.8184032753763
2024-06-25,1320.647955549118,1243.0504760583428,1397.1892338824814
2024-06-26,1242.1822745137174,1168.16111715812,1317.0659031456453
2024-06-27,1196.244908976352,1127.9556263800566,1270.7776194748378
2024-06-28,1208.4536793392288,1132.525535956677,1283.1805409318429
2024-06-29,1273.2575061506495,1202.1741398918107,1350.7061785352842
2024-06-30,1341.8263562556463,1263.829237846234,1421.8895905875663
2024-07-01,1369.0894824796662,1292.55652621646,1443.7136414047152
2024-07-02,1308.3591880444003,1228.7212505222446,1376.2900452430372
2024-07-03,1228.4144814157771,1156.5653931388686,1300.2748529866915
2024-07-04,1181.0080333537458,1106.2000962955026,1258.4161399877405
2024-07-05,1191.7868118972247,1114.7566009069876,1267.78878729217
2024-07-06,1255.2279110197883,1175.6837057773541,1326.9798738118482
2024-07-07,1322.527844623886,1245.1125917150594,1395.9321973491772
2024-07-08,1348.6401807189593,1272.864070435066,1423.9255331298186
2024-07-09,1286.8987621374863,1209.1379291691683,1358.7345418649425
2024-07-10,1206.1008928144167,1130.2002373330777,1283.4984846573223
2024-07-11,1158.0139125987737,1081.6089503790643,1234.3135506864676
2024-07-12,1168.2955450623072,1092.2122523824353,1239.8789672455225
2024-07-13,1231.429540145661,1157.4607183205535,1309.936830158423
2024-07-14,1298.6148865972634,1221.600682635926,1374.5105769056106
2024-07-15,1324.8034695064468,1249.0725447168165,1396.8370688075247
2024-07-16,1263.323416896563,1190.7102145973909,1343.5186486276298
2024-07-17,1182.962509298936,1106.5690223411752,1261.160405110909
2024-07-18,1135.475067616028,1063.6711339219162,1210.0885035260646
