ds,yhat,yhat_lower,yhat_upper
2024-06-19,1365.1973399669591,1301.3318266102506,1433.6449886070839
2024-06-20,1198.1091292689543,1126.1590105429354,1273.6858951706126
2024-06-21,1211.1310301289222,1140.3405858159342,1278.1711494835533
2024-06-22,1278.7108813960656,1211.697327269484,1344.4761664912173
2024-06-23,1348.3561979668614,1277.6664767971183,1417.120479310065
2024-06-24,1358.2044099103596,1289.8241482539052,1427.8997403870555
2024-06-25,1316.2156056629033,1245.459283063314,1383.429756284222
2024-06-26,1238.4385032928021,1166.10521616244,1310.7799257890397
2024-06-27,1190.4592674848195,1123.785176638984,1263.834091574917
2024-06-28,1202.6226907347975,1130.3864219366553,1272.4853747543225
2024-06-29,1269.2355398452946,1204.505427376002,1339.7222399347995
2024-06-30,1337.8232743071053,1262.31878762994,1409.5819977401022
2024-07-01,1346.5436126026002,1279.075467796868,1411.7335115500468
2024-07-02,1303.3788227312866,1233.546702573598,1371.2402424490538
2024-07-03,1224.4011907919644,1155.1082922631892,1294.4212302777557
2024-07-04,1295.0650164502892,1226.3585406142986,1365.2923327559727
2024-07-05,1186.2086363508402,1115.2890145686008,1253.0121575309656
2024-07-06,1251.694383508901,1184.0920201076178,1319.7816018199694
2024-07-07,1319.227549063511,1248.6145646258137,1386.9603502223865
2024-07-08,1326.9879914123542,1257.7673031499235,1394.357806077435
2024-07-09,1282.9781901158142,1216.6686210187333,1355.0763207075304
2024-07-10,1203.2882423379328,1134.8606500266571,1271.713554608324
2024-07-11,1153.5437250838036,1084.5819092612296,1222.8054912577547
2024-07-12,1164.1259655340705,1097.2430896675826,1230.5049111505348
2024-07-13,1229.3745432871076,1160.256494297027,1296.5020619466359
2024-07-14,1296.8432520880465,1228.208044456892,1367.2958924711904
2024-07-15,1304.7130158260932,1237.9834628745716,1368.5755501880953
2024-07-16,1260.9836511018784,1196.2664974103673,1332.5963383648907
2024-07-17,1181.738943027161,1116.297949898829,1249.3972604263784
2024-07-18,1132.5946737398401,1068.2939451017367,1203.8291923574825
