ds,yhat,yhat_lower,yhat_upper
2024-06-19,1306.4595947265625,1191.9152484463607,1421.0039410067643
2024-06-20,1203.93994140625,1089.3955951260482,1318.4842876864518
2024-06-21,1188.5086669921875,1073.9643207119857,1303.0530132723893
2024-06-22,1273.0294189453125,1158.4850726651107,1387.5737652255143
2024-06-23,1355.448974609375,1240.9046283291732,1469.9933208895768
2024-06-24,1371.8092041015625,1257.2648578213607,1486.3535503817643
2024-06-25,1328.527099609375,1213.9827533291732,1443.0714458895768
2024-06-26,1249.9111328125,1135.3667865322982,1364.4554790927018
2024-06-27,1201.3507080078125,1086.8063617276107,1315.8950542880143
2024-06-28,1201.40478515625,1086.8604388760482,1315.9491314364518
2024-06-29,1286.77294921875,1172.2286029385482,1401.3172954989518
2024-06-30,1366.431640625,1251.8872943447982,1480.9759869052018
2024-07-01,1358.84375,1244.2994037197982,1473.3880962802018
2024-07-02,1336.0301513671875,1221.4858050869857,1450.5744976473893
2024-07-03,1234.052734375,1119.5083880947982,1348.5970806552018
2024-07-04,1282.85498046875,1168.3106341885482,1397.3993267489518
2024-07-05,1200.16748046875,1085.6231341885482,1314.7118267489518
2024-07-06,1272.0257568359375,1157.4814105557357,1386.5701031161393
2024-07-07,1369.0079345703125,1254.4635882901107,1483.5522808505143
2024-07-08,1354.2421875,1239.6978412197982,1468.7865337802018
2024-07-09,1322.7171630859375,1208.1728168057357,1437.2615093661393
2024-07-10,1220.7823486328125,1106.2380023526107,1335.3266949130143
2024-07-11,1206.0103759765625,1091.4660296963607,1320.5547222567643
2024-07-12,1198.3243408203125,1083.7799945401107,1312.8686871005143
2024-07-13,1266.5196533203125,1151.9753070401107,1381.0639996005143
2024-07-14,1365.97265625,1251.4283099697982,1480.5170025302018
2024-07-15,1348.7000732421875,1234.1557269619857,1463.2444195223893
2024-07-16,1331.3485107421875,1216.8041644619857,1445.8928570223893
2024-07-17,1229.50341796875,1114.9590716885482,1344.0477642489518
2024-07-18,1193.8408203125,1079.2964740322982,1308.3851665927018
