ds,Prophet Baseline,Prophet + US Holidays,XGBoost,LSTM,Holt-Winters
2024-06-19,1246.9706749859367,1365.1973399669591,1306.4595947265625,1277.5228854691982,1239.8423114780471
2024-06-20,1201.991386255396,1198.1091292689543,1203.93994140625,1242.024813297391,1193.899209911027
2024-06-21,1215.305547638776,1211.1310301289222,1188.5086669921875,1255.8578474891185,1205.6749937930542
2024-06-22,1281.341230069005,1278.7108813960656,1273.0294189453125,1301.1392342686652,1272.4127667025393
2024-06-23,1351.244598747907,1348.3561979668614,1355.448974609375,1369.562578974366,1339.6784482656708
2024-06-24,1379.9187209013692,1358.2044099103596,1371.8092041015625,1401.7439319384098,1379.3549575009886
2024-06-25,1320.647955549118,1316.2156056629033,1328.527099609375,1345.4281059509515,1309.2619546064982
2024-06-26,1242.1822745137174,1238.4385032928021,1249.9111328125,1279.0499884450435,1229.0354245683711
2024-06-27,1196.244908976352,1190.4592674848195,1201.3507080078125,1240.9107160907984,1183.2202143049963
2024-06-28,1208.4536793392288,1202.6226907347975,1201.40478515625,1251.3314739865064,1195.1223759941658
2024-06-29,1273.2575061506495,1269.2355398452946,1286.77294921875,1295.0367062830924,1261.9850311253722
2024-06-30,1341.8263562556463,1337.8232743071053,1366.431640625,1363.2678618657587,1329.3741170239225
2024-07-01,1369.0894824796662,1346.5436126026002,1358.84375,1395.8446819978951,1369.172570198019
2024-07-02,1308.3591880444003,1303.3788227312866,1336.0301513671875,1335.735596036315,1299.2000681283528
2024-07-03,1228.4144814157771,1224.4011907919644,1234.052734375,1261.810788179636,1219.0926128792541
2024-07-04,1181.0080333537458,1295.0650164502892,1282.85498046875,1215.6446638357638,1173.3950682451627
2024-07-05,1191.7868118972247,1186.2086363508402,1200.16748046875,1219.8417076694964,1185.4135030802067
2024-07-06,1255.2279110197883,1251.694383508901,1272.0257568359375,1262.9700897163152,1252.391055352863
2024-07-07,1322.527844623886,1319.227549063511,1369.0079345703125,1334.4424353694915,1319.8936786724064
2024-07-08,1348.6401807189593,1326.9879914123542,1354.2421875,1370.0932630997895,1359.8043256382987
2024-07-09,1286.8987621374863,1282.9781901158142,1322.7171630859375,1309.422093259096,1289.9426896320629
2024-07-10,1206.1008928144167,1203.2882423379328,1220.7823486328125,1238.5814201283454,1209.9447884306862
2024-07-11,1158.0139125987737,1153.5437250838036,1206.0103759765625,1199.18310251534,1164.3555013553187
2024-07-12,1168.2955450623072,1164.1259655340705,1198.3243408203125,1209.8844780296088,1176.4809126030516
2024-07-13,1231.429540145661,1229.3745432871076,1266.5196533203125,1256.7140141063928,1243.5641753037528
2024-07-14,1298.6148865972634,1296.8432520880465,1365.97265625,1330.710730227828,1311.1712580486642
2024-07-15,1324.8034695064468,1304.7130158260932,1348.7000732421875,1367.375006224513,1351.185128241915
2024-07-16,1263.323416896563,1260.9836511018784,1331.3485107421875,1307.3746030139923,1281.425493894493
2024-07-17,1182.962509298936,1181.738943027161,1229.50341796875,1236.514071660638,1201.528387239722
2024-07-18,1135.475067616028,1132.5946737398401,1193.8408203125,1196.4376325201988,1156.038701884009
