type,name,line
class,ModelResult,236
function,format_number,248
function,safe_mape,254
function,safe_wmape,263
function,calculate_metrics,272
function,make_demo_data,291
function,load_uploaded_data,314
function,normalize_dates_for_frequency,324
function,prepare_time_series,337
function,generate_future_dates,405
function,holiday_period_flags,410
function,aligned_prophet_holidays,437
function,future_driver_frame,451
function,time_features,473
function,exogenous_features,507
function,empirical_intervals,518
function,fit_prophet_predict,528
function,run_prophet_model,564
function,make_xgb_training_data,611
function,recursive_xgb_forecast,628
function,fit_xgb,655
function,run_xgboost_model,689
function,import_tensorflow,757
function,make_lstm_raw_features,767
function,make_lstm_sequences,777
function,fit_lstm,790
function,recursive_lstm_forecast,856
function,run_lstm_model,887
function,fit_holt_winters,959
function,run_holt_winters_model,975
function,result_leaderboard,1008
function,forecast_comparison_figure,1023
function,validation_diagnostics_figure,1071
function,prophet_holiday_comparison_figure,1100
function,export_excel,1134
function,combined_future_table,1146
