date,demand,promotion,price_index,availability_index,deployment_activity
2024-01-01,174.71,0,100.0,96.78,49.46
2024-01-02,186.32,0,100.17,96.11,48.56
2024-01-03,217.74,0,100.35,95.83,49.1
2024-01-04,198.28,0,100.52,96.77,47.98
2024-01-05,181.2,0,100.69,97.79,52.14
2024-01-06,176.39,0,100.86,96.6,51.9
2024-01-07,199.73,0,101.02,96.85,51.59
2024-01-08,162.08,0,101.17,98.05,46.96
2024-01-09,192.27,0,101.32,97.64,50.76
2024-01-10,200.52,0,101.47,98.36,55.87
2024-01-11,184.72,0,101.61,97.96,52.67
2024-01-12,164.4,0,101.74,98.49,55.08
2024-01-13,160.25,0,101.86,97.26,51.92
2024-01-14,156.37,0,101.97,97.93,57.91
2024-01-15,191.4,0,102.07,97.71,55.06
2024-01-16,205.45,0,102.17,96.88,56.24
2024-01-17,216.51,0,102.25,96.48,60.6
2024-01-18,205.77,0,102.32,97.87,59.25
2024-01-19,186.46,0,102.38,96.93,55.86
2024-01-20,162.72,0,102.43,96.22,55.52
2024-01-21,197.9,0,102.46,96.62,56.28
2024-01-22,193.99,0,102.49,97.21,58.15
2024-01-23,184.45,0,102.5,94.54,57.1
2024-01-24,199.58,0,102.5,94.81,56.68
2024-01-25,180.81,0,102.49,94.94,60.54
2024-01-26,183.24,0,102.46,96.34,57.5
2024-01-27,171.29,0,102.43,95.26,62.42
2024-01-28,204.55,1,102.38,95.36,58.08
2024-01-29,218.34,0,102.32,93.81,61.53
2024-01-30,217.55,0,102.25,93.64,58.7
2024-01-31,225.64,0,102.17,94.58,59.93
2024-02-01,193.1,0,102.07,94.19,56.54
2024-02-02,173.96,0,101.97,94.44,56.25
2024-02-03,175.75,0,101.86,93.88,58.82
2024-02-04,182.91,0,101.74,94.2,59.8
2024-02-05,175.78,0,101.61,94.14,57.81
2024-02-06,213.2,0,101.47,94.64,55.04
2024-02-07,220.53,0,101.32,94.77,54.75
2024-02-08,205.53,0,101.17,93.21,54.45
2024-02-09,179.57,0,101.02,92.94,53.59
2024-02-10,174.59,0,100.86,95.42,57.15
2024-02-11,184.84,0,100.69,95.77,58.96
2024-02-12,204.32,0,100.52,94.47,56.45
2024-02-13,226.6,0,100.35,94.15,51.7
2024-02-14,239.77,0,100.17,95.79,55.56
2024-02-15,212.63,0,100.0,96.65,55.33
2024-02-16,194.42,0,99.83,97.54,59.55
2024-02-17,191.0,0,99.65,96.91,52.12
2024-02-18,198.48,0,99.48,96.55,53.92
2024-02-19,205.16,0,99.31,96.43,57.77
2024-02-20,237.34,0,99.14,97.29,54.9
2024-02-21,278.51,1,98.98,97.28,54.76
2024-02-22,236.4,0,98.83,96.95,53.48
2024-02-23,225.33,0,98.68,99.23,53.53
2024-02-24,182.47,0,98.53,99.15,54.03
2024-02-25,196.42,0,98.39,98.76,50.45
2024-02-26,214.33,0,98.26,97.35,53.42
2024-02-27,229.89,0,98.14,98.59,48.51
2024-02-28,229.01,0,98.03,98.39,51.49
2024-02-29,207.22,0,97.93,98.16,50.78
2024-03-01,207.16,0,97.83,98.61,48.77
2024-03-02,185.3,0,97.75,98.02,49.54
2024-03-03,199.62,0,97.68,97.91,47.92
2024-03-04,206.03,0,97.62,97.62,46.61
2024-03-05,220.03,0,97.57,97.18,47.63
2024-03-06,238.85,0,97.54,95.44,45.72
2024-03-07,227.81,0,97.51,96.47,48.17
2024-03-08,212.52,0,97.5,95.75,44.83
2024-03-09,254.82,1,97.5,94.96,48.17
2024-03-10,202.1,0,97.51,96.76,44.01
2024-03-11,222.15,0,97.54,96.53,44.87
2024-03-12,220.26,0,97.57,96.01,44.39
2024-03-13,222.72,0,97.62,95.0,47.95
2024-03-14,244.91,0,97.68,95.56,45.63
2024-03-15,228.6,1,97.75,94.43,44.22
2024-03-16,181.67,0,97.83,94.41,45.34
2024-03-17,195.39,0,97.93,93.38,39.84
2024-03-18,213.94,0,98.03,94.34,43.7
2024-03-19,222.5,0,98.14,94.05,47.52
2024-03-20,231.83,0,98.26,93.09,43.56
2024-03-21,238.71,0,98.39,93.99,43.21
2024-03-22,195.38,0,98.53,94.04,43.97
2024-03-23,177.38,0,98.68,95.46,44.48
2024-03-24,207.1,0,98.83,94.97,38.54
2024-03-25,252.59,1,98.98,94.52,39.03
2024-03-26,223.76,0,99.14,94.89,42.69
2024-03-27,215.62,0,99.31,94.97,40.75
2024-03-28,214.97,0,99.48,95.04,44.72
2024-03-29,202.52,0,99.65,94.69,41.41
2024-03-30,204.45,0,99.83,95.62,38.14
2024-03-31,182.38,0,100.0,95.48,39.46
